127.0.0.1 - - [19/Aug/2020:13:37:39 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:42 +0800] "GET /hrsys/index.html HTTP/1.1" 200 5153
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:42 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:42 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:42 +0800] "GET /hrsys/welcome.html HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:42 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:42 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:42 +0800] "GET /hrsys/resource/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:42 +0800] "GET /hrsys/resource/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:46 +0800] "GET /hrsys/login.html HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:46 +0800] "GET /hrsys/resource/image/hrsysbgimg.jpg HTTP/1.1" 200 320611
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:46 +0800] "GET /hrsys/resource/js/login.js HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:37:53 +0800] "POST /hrsys/login HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:23 +0800] "GET /hrsys/system/user.html HTTP/1.1" 200 4140
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:23 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 200 114722
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:23 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 200 8803
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:23 +0800] "GET /hrsys/resource/js/user.js HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:23 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:23 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:49 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:51 +0800] "GET /hrsys/system/dict.html HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:51 +0800] "GET /hrsys/resource/js/dict.js HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:51 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:51 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:52 +0800] "GET /hrsys/system/dept.html HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:52 +0800] "GET /hrsys/resource/js/dept.js HTTP/1.1" 200 5726
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:52 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:53 +0800] "GET /hrsys/system/employee.html HTTP/1.1" 200 4637
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:53 +0800] "GET /hrsys/resource/js/employee.js HTTP/1.1" 200 7309
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:53 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:54 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:38:55 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:41 +0800] "POST /hrsys/addDept HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:42 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:50 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:53 +0800] "GET /hrsys/analyze/leave.html HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:54 +0800] "GET /hrsys/resource/echarts/echarts.js HTTP/1.1" 200 3058460
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:54 +0800] "GET /hrsys/resource/js/leave.js HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:54 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:54 +0800] "GET /hrsys/analyze/attend.html HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:54 +0800] "GET /hrsys/resource/js/attend.js HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:55 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:39:56 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:40:53 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:09 +0800] "GET /hrsys/analyze/leave.html? HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:10 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:15 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:21 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:26 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:28 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:31 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:34 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:42 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [19/Aug/2020:13:41:45 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
