127.0.0.1 - - [11/Jul/2020:10:44:55 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:56 +0800] "GET /hrsys/index.html HTTP/1.1" 200 4006
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:56 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:56 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:56 +0800] "GET /hrsys/welcome.html HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:56 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:56 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:58 +0800] "GET /hrsys/login.html HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:58 +0800] "GET /hrsys/resource/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:58 +0800] "GET /hrsys/resource/image/hrsysbgimg.jpg HTTP/1.1" 200 320611
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:44:58 +0800] "GET /hrsys/resource/js/login.js HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:06 +0800] "POST /hrsys/login HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:13 +0800] "GET /hrsys/system/empsalary.html HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:13 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 200 114722
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:13 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:13 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 200 8803
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:13 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:58 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:58 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/system/empsalary.html HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:45:59 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 500 1651
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:47:33 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:47:33 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:47:33 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:47:33 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:47:33 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:47:33 +0800] "GET /hrsys/system/empsalary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:47:33 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:10:47:33 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 304 -
