0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:49:33 +0800] "GET /hrsys/analyze/attend.html HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:49:33 +0800] "GET /hrsys/resource/js/attend.js HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:49:33 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:00:49 +0800] "GET /hrsys HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:00:49 +0800] "GET /hrsys/ HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:00:49 +0800] "GET /hrsys/resource/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:00:49 +0800] "GET /hrsys/resource/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:00:52 +0800] "POST /hrsys/login HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:00:57 +0800] "POST /hrsys/login HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:00:57 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:01 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 200 8803
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:01 +0800] "GET /hrsys/resource/js/user.js HTTP/1.1" 200 7157
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:01 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:05 +0800] "GET /hrsys/resource/js/dict.js HTTP/1.1" 200 5433
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:05 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:05 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:09 +0800] "GET /hrsys/resource/js/dept.js HTTP/1.1" 200 5733
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:09 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:11 +0800] "GET /hrsys/resource/js/employee.js HTTP/1.1" 200 7323
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:01:11 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:16 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:17 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:18 +0800] "GET /hrsys/resource/js/attendmgr.js HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:19 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:19 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:19 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 200 3744
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:19 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:24 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:24 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:25 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:27 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:02:27 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:40 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:40 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:40 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:40 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:40 +0800] "GET /hrsys/system/attendmgr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:40 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:40 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:40 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:41 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:41 +0800] "GET /hrsys/resource/js/attendmgr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:41 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:41 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:45 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:45 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:45 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:47 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:03:48 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/system/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/resource/js/employee.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:33 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [09/Sep/2020:19:04:36 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2458
